# Zscore cut: >= 1.96 
# Gene Prediction Observation 
ANXA5 1.073785 2.077743
APOL6 1.389832 0.520875
ARRDC5 1.310944 0.319119
ATP5L 1.283853 2.767017
C1QTNF6 1.219528 0.323518
CALM2 1.864382 2.85949
CAPN3 1.584048 0.709847
CD52 1.882798 2.978347
CR2 1.683856 2.559573
DEF8 1.78391 2.764757
DUSP2 1.461309 2.356016
EZR 1.656173 3.015784
FAM177B 1.316965 0.429581
GBP5 1.506377 0.631697
GSTP1 1.435589 2.800708
HAUS8 2.806364 1.79638
HLA-DQA2 0.982105 1.861494
HMGN1 2.118123 2.980589
HSP90AA1 1.336682 2.98602
LARGE2 1.811712 0.757498
LDHB 1.46473 2.821046
LMO2 1.605677 2.657961
LOXL2 1.145452 2.024729
MARCKSL1 1.818188 3.1105
NANS 1.666398 2.540586
