# Zscore cut: >= 1.65 
# Gene Prediction Observation 
ACY3 1.228907 2.021413
ANP32E 1.442806 2.307197
ANXA5 1.321952 2.077743
ANXA6 1.417276 2.09208
APOL6 1.244825 0.520875
ARHGEF37 1.433573 0.791426
ARL3 1.763987 1.044753
ARRDC5 1.191143 0.319119
BCL2L11 1.169762 1.815602
BORCS8 2.239582 2.866613
BORCS8-MEF2B 2.239582 2.866613
BPNT1 1.445256 2.323328
CALM2 1.894064 2.85949
CAPN3 1.469021 0.709847
CCDC102A 2.141206 1.407735
CCDC69 1.878579 2.646111
CCNA2 1.390081 2.017216
CD27 1.848137 2.613446
CD5 1.07839 0.394579
CR2 1.625659 2.559573
CTSH 1.989184 2.636001
DEF8 1.793214 2.764757
DNMT3B 1.4686 0.780627
DSTN 1.30424 2.088948
DUSP2 1.543478 2.356016
EML6 1.32577 2.079995
FAM177B 1.327692 0.429581
FANCI 1.132336 1.9127
FBXO6 1.179688 0.491203
FKBP5 1.147828 1.819751
FYTTD1 1.253703 2.009357
GBP5 1.37126 0.631697
GCSAM 1.60032 2.298789
GNA13 1.706076 2.347459
GPR160 1.588957 2.239201
GPRASP1 1.07596 0.411091
HES6 0.798913 1.506181
HIST1H4L 1.699628 0.951909
HJURP 1.142634 1.833649
HLA-DQA2 1.10955 1.861494
HMGN1 2.091459 2.980589
ICOSLG 0.865291 1.504883
LOXL2 1.322852 2.024729
LRCH3 2.475497 1.705634
MAD2L1 1.349157 2.003206
METAP2 1.757265 2.452501
MYB 1.456754 0.806025
MYO1F 1.22436 0.510774
NANS 1.744911 2.540586
NRROS 1.117737 0.393106
NUGGC 1.594292 2.349467
P2RX1 1.281887 0.587241
