# Zscore cut: >= 1.65 
# Gene Prediction Observation 
ACY3 1.286593 2.021413
ANP32E 1.451711 2.307197
ANXA5 1.225904 2.077743
ANXA6 1.385722 2.09208
APOL6 1.340216 0.520875
ARHGEF37 1.45703 0.791426
ARL3 1.710794 1.044753
ARRDC5 1.14819 0.319119
BORCS8 2.232956 2.866613
BORCS8-MEF2B 2.232956 2.866613
BPNT1 1.49083 2.323328
C1QTNF6 1.32024 0.323518
CALM2 1.880503 2.85949
CAPN3 1.528423 0.709847
CCDC102A 2.057262 1.407735
CCDC107 2.077587 1.401667
CCDC69 1.758014 2.646111
CD27 1.846905 2.613446
CD5 1.051667 0.394579
CR2 1.619285 2.559573
CTSH 1.893296 2.636001
DEF8 1.786574 2.764757
DNMT3B 1.465976 0.780627
DSTN 1.348387 2.088948
DUSP2 1.459891 2.356016
EMC9 2.236551 1.511693
EML6 1.310232 2.079995
FAM177B 1.398614 0.429581
FANCI 1.226493 1.9127
FKBP5 1.154092 1.819751
FYTTD1 1.15498 2.009357
GBP5 1.434726 0.631697
GPR160 1.599611 2.239201
GPRASP1 1.152947 0.411091
HAUS8 2.90744 1.79638
HES6 0.768691 1.506181
HIST1H4L 1.687778 0.951909
HJURP 1.189174 1.833649
HLA-DQA2 1.202449 1.861494
HMGN1 2.141476 2.980589
ICOSLG 0.815506 1.504883
LOXL2 1.261514 2.024729
LRCH3 2.455809 1.705634
METAP2 1.764061 2.452501
MYB 1.478857 0.806025
MYO1F 1.220993 0.510774
MYO7B 1.20181 0.511591
NANS 1.697396 2.540586
NRROS 1.104443 0.393106
P2RX1 1.221906 0.587241
